station_name,station_number,lat,lon,elev_m,utc_offset,koeppen,climate_region,tract_geoid10,urbanicity,cbsa_code,cbsa_name,lsad10
IN_KOKOMO(AWOS),724387,40.528,-86.059,253,-5,Dfa,Cold & Very Cold,18067010200,suburban/small town,29020,"Kokomo, IN Metro Area",M1
IN_LA-PORTE-MUNI,721029,41.572,-86.735,247,-6,Dfa,Cold & Very Cold,18091042400,suburban/small town,33140,"Michigan City-La Porte, IN Metro Area",M1
IN_LAFAYETTE-PURDUE-UNIV-AP,724386,40.412,-86.947,181,-5,Dfa,Cold & Very Cold,18157010600,rural,29140,"Lafayette, IN Metro Area",M1
IN_LOGANSPORT-CASS-CO,720961,40.711,-86.375,225,-6,Dfa,Cold & Very Cold,18017951800,rural,30900,"Logansport, IN Micro Area",M2
IN_MARION-MUNI-AP,744214,40.483,-85.683,263,-5,Dfa,Cold & Very Cold,18053010200,rural,31980,"Marion, IN Micro Area",M2
IN_MICHIGAN-CITY-MUNI-AP,726358,41.703,-86.821,200,-5,Dfa,Cold & Very Cold,18091041300,suburban/small town,33140,"Michigan City-La Porte, IN Metro Area",M1
IN_MONROE-CO,724375,39.143,-86.617,253,-5,Cfa,Mixed-Humid,18105001200,rural,14020,"Bloomington, IN Metro Area",M1
IN_PORTER-CO-MUNI,725327,41.454,-86.998,234,-6,Dfa,Cold & Very Cold,18127051002,suburban/small town,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",M1
IN_SHELBYVILLE-MUNI,724356,39.585,-85.8,244,-5,Dfa,Cold & Very Cold,18145710300,rural,26900,"Indianapolis-Carmel, IN Metro Area",M1
IN_SOUTH-BEND-MICHIANA-RGNL-A,725350,41.707,-86.316,235,-5,Dfa,Cold & Very Cold,18141011000,suburban/small town,43780,"South Bend-Mishawaka, IN-MI Metro Area",M1
IN_TERRE-HAUTE-HULMAN-RGNL-AP,724373,39.443,-87.322,172,-5,Cfa,Cold & Very Cold,18167010600,suburban/small town,45460,"Terre Haute, IN Metro Area",M1
IN_WARSAW-MUNI-AP,720266,41.275,-85.84,259,-5,Dfa,Cold & Very Cold,18085961700,suburban/small town,47700,"Warsaw, IN Micro Area",M2
KS_ATKINSON-MUNICIPAL-AP,720436,37.45,-94.733,290,-6,Dfb,Mixed-Humid,20037956900,rural,38260,"Pittsburg, KS Micro Area",M2
KS_ATWOOD-RAWLNS-CO-CTY-CO-AP,720421,39.84,-101.042,911,-6,Dfb,Cold & Very Cold,20153950600,rural,,,
KS_CHANUTE-MARTIN-JOHNSON-AP,724507,37.671,-95.485,298,-6,Cfa,Mixed-Humid,20133951800,rural,,,
KS_CHEYENNE-CO-MUNI-S,720437,39.767,-101.8,1040,-6,BSk,Cold & Very Cold,20023950200,rural,,,
KS_COFFEY-CO-AP,722005,38.302,-95.725,357,-6,Cfa,Mixed-Humid,20031966100,rural,,,
KS_COFFEYVILLE-MUNI,724519,37.091,-95.573,227,-6,Cfa,Mixed-Humid,20125950700,rural,17700,"Coffeyville, KS Micro Area",M2
KS_CONCORDIA-BLOSSER-MUNI-AP,724580,39.551,-97.651,444,-6,Dfa,Cold & Very Cold,20029977200,rural,,,
KS_DODGE-CITY-RGNL-AP,724510,37.771,-99.969,785,-6,Cfa,Mixed-Humid,20057961800,rural,19980,"Dodge City, KS Micro Area",M2
KS_ELKHART-MORTON-CO,724604,37.0,-101.883,1104,-6,BSk,Mixed-Humid,20129964600,rural,,,
KS_EMPORIA-MUNI-AP,724556,38.329,-96.195,366,-6,Cfa,Mixed-Humid,20111000700,rural,21380,"Emporia, KS Micro Area",M2
KS_FT-RILEY-MARSHALL-AAF,724550,39.05,-96.767,324,-6,Cfa,Mixed-Humid,20061000600,rural,31740,"Manhattan, KS Metro Area",M1
KS_GARDEN-CITY-MUNI-AP,724515,37.922,-100.724,877,-6,BSk,Mixed-Humid,20055960100,rural,23780,"Garden City, KS Micro Area",M2
KS_GOODLAND-RENNER-FIELD,724650,39.367,-101.693,1110,-7,BSk,Cold & Very Cold,20181453700,rural,,,
KS_GREAT-BEND(AWOS),724517,38.35,-98.867,573,-6,Cfa,Mixed-Humid,20009971800,rural,24460,"Great Bend, KS Micro Area",M2
KS_HAYS-MUNI(AWOS),724518,38.85,-99.267,609,-6,Cfa,Cold & Very Cold,20051072702,rural,25700,"Hays, KS Micro Area",M2
KS_HILL-CITY-MUNI-AP,724655,39.374,-99.83,667,-6,Cfa,Cold & Very Cold,20065952200,rural,,,
KS_HUGOTON-MUNI,720425,37.163,-101.371,954,-6,Dfb,Mixed-Humid,20189965200,rural,,,
KS_HUTCHINSON-MUNI-AP,724506,38.068,-97.861,463,-6,Cfa,Mixed-Humid,20155001100,rural,26740,"Hutchinson, KS Micro Area",M2
KS_INDEPENDENT-MUNICIPAL-AP,720426,37.158,-95.778,251,-6,Dfb,Mixed-Humid,20125950700,rural,17700,"Coffeyville, KS Micro Area",M2
KS_JOHNSON-(STANTON-CO-MUNI),720417,37.583,-101.733,1013,-6,Dfb,Mixed-Humid,20187964100,rural,,,
